"Label (Grouping)","Total"
"Lake County, Indiana",""
"    Estimate","6,982"
"LaPorte County, Indiana",""
"    Estimate","2,053"
"Madison County, Indiana",""
"    Estimate","2,487"
"Marion County, Indiana",""
"    Estimate","12,364"
"Monroe County, Indiana",""
"    Estimate","2,121"
"Morgan County, Indiana",""
"    Estimate","1,135"
"Porter County, Indiana",""
"    Estimate","2,507"
"St. Joseph County, Indiana",""
"    Estimate","4,580"
"Tippecanoe County, Indiana",""
"    Estimate","2,983"
"Vanderburgh County, Indiana",""
"    Estimate","2,881"
"Vigo County, Indiana",""
"    Estimate","1,861"
"Wayne County, Indiana",""
"    Estimate","1,470"
"Black Hawk County, Iowa",""
"    Estimate","2,468"
"Dallas County, Iowa",""
"    Estimate","1,462"
"Dubuque County, Iowa",""
"    Estimate","2,453"
"Johnson County, Iowa",""
"    Estimate","2,359"
"Linn County, Iowa",""
"    Estimate","3,621"
"Polk County, Iowa",""
"    Estimate","7,069"
"Pottawattamie County, Iowa",""
"    Estimate","2,155"
"Scott County, Iowa",""
"    Estimate","3,107"
"Story County, Iowa",""
"    Estimate","2,054"
"Woodbury County, Iowa",""
"    Estimate","1,882"
"Butler County, Kansas",""
"    Estimate","1,370"
"Douglas County, Kansas",""
"    Estimate","1,633"
"Johnson County, Kansas",""
"    Estimate","9,292"
"Leavenworth County, Kansas",""
"    Estimate","1,202"
"Riley County, Kansas",""
"    Estimate","1,170"
"Sedgwick County, Kansas",""
"    Estimate","8,020"
"Shawnee County, Kansas",""
"    Estimate","2,791"
"Wyandotte County, Kansas",""
"    Estimate","2,794"
"Boone County, Kentucky",""
"    Estimate","1,576"
"Bullitt County, Kentucky",""
"    Estimate","1,356"
"Campbell County, Kentucky",""
"    Estimate","1,749"
"Christian County, Kentucky",""
"    Estimate","1,207"
"Daviess County, Kentucky",""
"    Estimate","1,621"
"Fayette County, Kentucky",""
"    Estimate","4,935"
"Hardin County, Kentucky",""
"    Estimate","1,469"
"Jefferson County, Kentucky",""
"    Estimate","13,800"
"Kenton County, Kentucky",""
"    Estimate","2,572"
"McCracken County, Kentucky",""
"    Estimate","826"
"Madison County, Kentucky",""
"    Estimate","1,486"
"Oldham County, Kentucky",""
"    Estimate","1,515"
"Warren County, Kentucky",""
"    Estimate","1,671"
"Ascension Parish, Louisiana",""
"    Estimate","1,111"
"Bossier Parish, Louisiana",""
"    Estimate","1,424"
"Caddo Parish, Louisiana",""
"    Estimate","3,130"
"Calcasieu Parish, Louisiana",""
"    Estimate","2,395"
"East Baton Rouge Parish, Louisiana",""
"    Estimate","4,842"
"Iberia Parish, Louisiana",""
"    Estimate","910"
"Jefferson Parish, Louisiana",""
"    Estimate","6,105"
"Lafayette Parish, Louisiana",""
"    Estimate","2,583"
"Lafourche Parish, Louisiana",""
"    Estimate","1,458"
"Livingston Parish, Louisiana",""
"    Estimate","1,278"
"Orleans Parish, Louisiana",""
"    Estimate","7,335"
"Ouachita Parish, Louisiana",""
"    Estimate","2,154"
"Rapides Parish, Louisiana",""
"    Estimate","1,823"
"St. Landry Parish, Louisiana",""
"    Estimate","1,208"
"St. Tammany Parish, Louisiana",""
"    Estimate","3,018"
"Tangipahoa Parish, Louisiana",""
"    Estimate","1,374"
"Terrebonne Parish, Louisiana",""
"    Estimate","1,187"
"Androscoggin County, Maine",""
"    Estimate","1,760"
"Aroostook County, Maine",""
"    Estimate","2,186"
"Cumberland County, Maine",""
"    Estimate","4,424"
"Kennebec County, Maine",""
"    Estimate","2,192"
"Penobscot County, Maine",""
"    Estimate","3,304"
"York County, Maine",""
"    Estimate","2,895"
"Allegany County, Maryland",""
"    Estimate","1,538"
"Anne Arundel County, Maryland",""
"    Estimate","7,580"
"Baltimore County, Maryland",""
"    Estimate","12,994"
"Calvert County, Maryland",""
"    Estimate","1,319"
"Carroll County, Maryland",""
"    Estimate","2,998"
"Cecil County, Maryland",""
"    Estimate","1,515"
"Charles County, Maryland",""
"    Estimate","2,289"
"Frederick County, Maryland",""
"    Estimate","4,514"
"Harford County, Maryland",""
"    Estimate","3,801"
"Howard County, Maryland",""
"    Estimate","4,336"
"Montgomery County, Maryland",""
"    Estimate","15,925"
"Prince George's County, Maryland",""
"    Estimate","13,822"
"St. Mary's County, Maryland",""
"    Estimate","1,411"
"Washington County, Maryland",""
"    Estimate","2,460"
"Wicomico County, Maryland",""
"    Estimate","1,490"
"Baltimore city, Maryland",""
"    Estimate","9,275"
"Barnstable County, Massachusetts",""
"    Estimate","3,289"
"Berkshire County, Massachusetts",""
"    Estimate","2,838"
"Bristol County, Massachusetts",""
"    Estimate","7,982"
"Essex County, Massachusetts",""
"    Estimate","11,022"
"Franklin County, Massachusetts",""
"    Estimate","2,060"
"Hampden County, Massachusetts",""
"    Estimate","6,830"
"Hampshire County, Massachusetts",""
"    Estimate","3,000"
"Middlesex County, Massachusetts",""
"    Estimate","23,843"
"Norfolk County, Massachusetts",""
"    Estimate","10,146"
"Plymouth County, Massachusetts",""
"    Estimate","7,067"
"Suffolk County, Massachusetts",""
"    Estimate","11,671"
"Worcester County, Massachusetts",""
"    Estimate","12,413"
"Allegan County, Michigan",""
"    Estimate","2,628"
"Bay County, Michigan",""
"    Estimate","2,006"
"Berrien County, Michigan",""
"    Estimate","3,728"
"Calhoun County, Michigan",""
"    Estimate","3,003"
"Clinton County, Michigan",""
"    Estimate","2,074"
"Eaton County, Michigan",""
"    Estimate","2,589"
"Genesee County, Michigan",""
"    Estimate","6,873"
"Grand Traverse County, Michigan",""
"    Estimate","1,538"
"Ingham County, Michigan",""
"    Estimate","5,434"
"Isabella County, Michigan",""
"    Estimate","2,069"
"Jackson County, Michigan",""
"    Estimate","3,188"
"Kalamazoo County, Michigan",""
"    Estimate","4,484"
"Kent County, Michigan",""
"    Estimate","9,799"
"Lapeer County, Michigan",""
"    Estimate","2,031"
"Lenawee County, Michigan",""
"    Estimate","2,739"
"Livingston County, Michigan",""
"    Estimate","4,222"
"Macomb County, Michigan",""
"    Estimate","13,870"
"Marquette County, Michigan",""
"    Estimate","1,890"
"Midland County, Michigan",""
"    Estimate","1,939"
"Monroe County, Michigan",""
"    Estimate","2,832"
"Muskegon County, Michigan",""
"    Estimate","3,526"
"Oakland County, Michigan",""
"    Estimate","22,158"
"Ottawa County, Michigan",""
"    Estimate","4,980"
"Saginaw County, Michigan",""
"    Estimate","4,066"
"St. Clair County, Michigan",""
"    Estimate","3,587"
"Shiawassee County, Michigan",""
"    Estimate","1,965"
"Van Buren County, Michigan",""
"    Estimate","1,904"
"Washtenaw County, Michigan",""
"    Estimate","6,991"
"Wayne County, Michigan",""
"    Estimate","28,924"
"Anoka County, Minnesota",""
"    Estimate","6,248"
"Blue Earth County, Minnesota",""
"    Estimate","2,106"
"Carver County, Minnesota",""
"    Estimate","2,493"
"Dakota County, Minnesota",""
"    Estimate","7,618"
"Hennepin County, Minnesota",""
"    Estimate","20,818"
"Olmsted County, Minnesota",""
"    Estimate","3,480"
"Ramsey County, Minnesota",""
"    Estimate","9,214"
"Rice County, Minnesota",""
"    Estimate","2,012"
"St. Louis County, Minnesota",""
"    Estimate","6,320"
"Scott County, Minnesota",""
"    Estimate","2,580"
"Sherburne County, Minnesota",""
"    Estimate","1,499"
"Stearns County, Minnesota",""
"    Estimate","4,857"
"Washington County, Minnesota",""
"    Estimate","4,727"
"Wright County, Minnesota",""
"    Estimate","3,121"
"DeSoto County, Mississippi",""
"    Estimate","2,180"
"Forrest County, Mississippi",""
"    Estimate","914"
"Harrison County, Mississippi",""
"    Estimate","2,370"
"Hinds County, Mississippi",""
"    Estimate","3,308"
"Jackson County, Mississippi",""
"    Estimate","1,499"
"Jones County, Mississippi",""
"    Estimate","825"
"Lauderdale County, Mississippi",""
"    Estimate","930"
"Lee County, Mississippi",""
"    Estimate","1,232"
"Madison County, Mississippi",""
"    Estimate","1,354"
"Rankin County, Mississippi",""
"    Estimate","1,862"
"Boone County, Missouri",""
"    Estimate","2,367"
"Buchanan County, Missouri",""
"    Estimate","1,600"
"Cape Girardeau County, Missouri",""
"    Estimate","1,269"
"Cass County, Missouri",""
"    Estimate","1,907"
"Christian County, Missouri",""
"    Estimate","1,288"
"Clay County, Missouri",""
"    Estimate","3,279"
"Cole County, Missouri",""
"    Estimate","1,346"
"Franklin County, Missouri",""
"    Estimate","1,586"
"Greene County, Missouri",""
"    Estimate","4,427"
"Jackson County, Missouri",""
"    Estimate","10,547"
"Jasper County, Missouri",""
"    Estimate","1,958"
"Jefferson County, Missouri",""
"    Estimate","3,275"
"Platte County, Missouri",""
"    Estimate","1,718"
"St. Charles County, Missouri",""
"    Estimate","6,544"
"St. Francois County, Missouri",""
"    Estimate","999"
"St. Louis County, Missouri",""
"    Estimate","15,237"
"St. Louis city, Missouri",""
"    Estimate","4,866"
"Cascade County, Montana",""
"    Estimate","1,674"
"Flathead County, Montana",""
"    Estimate","1,758"
"Gallatin County, Montana",""
"    Estimate","1,980"
"Lewis and Clark County, Montana",""
"    Estimate","1,118"
"Missoula County, Montana",""
"    Estimate","1,647"
"Yellowstone County, Montana",""
"    Estimate","2,705"
"Douglas County, Nebraska",""
"    Estimate","9,844"
"Lancaster County, Nebraska",""
"    Estimate","5,456"
"Sarpy County, Nebraska",""
"    Estimate","3,230"
"Clark County, Nevada",""
"    Estimate","28,852"
"Washoe County, Nevada",""
"    Estimate","6,470"
"Cheshire County, New Hampshire",""
"    Estimate","1,698"
"Grafton County, New Hampshire",""
"    Estimate","2,089"
"Hillsborough County, New Hampshire",""
"    Estimate","6,410"
"Merrimack County, New Hampshire",""
"    Estimate","3,048"
"Rockingham County, New Hampshire",""
"    Estimate","4,802"
"Strafford County, New Hampshire",""
"    Estimate","1,949"
"Atlantic County, New Jersey",""
"    Estimate","4,050"
"Bergen County, New Jersey",""
"    Estimate","13,816"
"Burlington County, New Jersey",""
"    Estimate","7,514"
"Camden County, New Jersey",""
"    Estimate","7,884"
"Cape May County, New Jersey",""
"    Estimate","2,023"
"Cumberland County, New Jersey",""
"    Estimate","2,644"
"Essex County, New Jersey",""
"    Estimate","10,751"
"Gloucester County, New Jersey",""
"    Estimate","4,673"
"Hudson County, New Jersey",""
"    Estimate","9,375"
"Hunterdon County, New Jersey",""
"    Estimate","2,369"
"Mercer County, New Jersey",""
"    Estimate","4,998"
"Middlesex County, New Jersey",""
"    Estimate","12,739"
"Monmouth County, New Jersey",""
"    Estimate","9,776"
"Morris County, New Jersey",""
"    Estimate","7,920"
"Ocean County, New Jersey",""
"    Estimate","8,737"
"Passaic County, New Jersey",""
"    Estimate","6,713"
"Salem County, New Jersey",""
"    Estimate","1,248"
"Somerset County, New Jersey",""
"    Estimate","4,803"
"Sussex County, New Jersey",""
"    Estimate","2,798"
"Union County, New Jersey",""
"    Estimate","7,713"
"Warren County, New Jersey",""
"    Estimate","1,997"
"Bernalillo County, New Mexico",""
"    Estimate","8,840"
"Chaves County, New Mexico",""
"    Estimate","865"
"Doña Ana County, New Mexico",""
"    Estimate","2,486"
"Lea County, New Mexico",""
"    Estimate","954"
"McKinley County, New Mexico",""
"    Estimate","2,365"
"Otero County, New Mexico",""
"    Estimate","952"
"Sandoval County, New Mexico",""
"    Estimate","2,653"
"San Juan County, New Mexico",""
"    Estimate","2,731"
"Santa Fe County, New Mexico",""
"    Estimate","3,156"
"Valencia County, New Mexico",""
"    Estimate","1,014"
"Albany County, New York",""
"    Estimate","5,016"
"Bronx County, New York",""
"    Estimate","17,155"
"Broome County, New York",""
"    Estimate","3,652"
"Cattaraugus County, New York",""
"    Estimate","2,879"
"Cayuga County, New York",""
"    Estimate","2,490"
"Chautauqua County, New York",""
"    Estimate","3,328"
"Chemung County, New York",""
"    Estimate","1,718"
"Clinton County, New York",""
"    Estimate","1,620"
"Dutchess County, New York",""
"    Estimate","5,335"
"Erie County, New York",""
"    Estimate","14,306"
"Jefferson County, New York",""
"    Estimate","2,728"
"Kings County, New York",""
"    Estimate","41,489"
"Livingston County, New York",""
"    Estimate","1,657"
"Madison County, New York",""
"    Estimate","1,686"
"Monroe County, New York",""
"    Estimate","11,658"
"Nassau County, New York",""
"    Estimate","22,561"
"New York County, New York",""
"    Estimate","16,061"
"Niagara County, New York",""
"    Estimate","3,575"
"Oneida County, New York",""
"    Estimate","4,639"
"Onondaga County, New York",""
"    Estimate","8,921"
"Ontario County, New York",""
"    Estimate","2,269"
"Orange County, New York",""
"    Estimate","5,555"
"Oswego County, New York",""
"    Estimate","2,606"
"Putnam County, New York",""
"    Estimate","1,552"
"Queens County, New York",""
"    Estimate","36,024"
"Rensselaer County, New York",""
"    Estimate","2,887"
"Richmond County, New York",""
"    Estimate","6,892"
"Rockland County, New York",""
"    Estimate","5,330"
"St. Lawrence County, New York",""
"    Estimate","3,075"
"Saratoga County, New York",""
"    Estimate","3,831"
"Schenectady County, New York",""
"    Estimate","2,301"
"Steuben County, New York",""
"    Estimate","3,055"
"Suffolk County, New York",""
"    Estimate","22,927"
"Sullivan County, New York",""
"    Estimate","1,237"
"Tompkins County, New York",""
"    Estimate","1,943"
"Ulster County, New York",""
"    Estimate","3,019"
"Warren County, New York",""
"    Estimate","1,326"
"Wayne County, New York",""
"    Estimate","1,943"
"Westchester County, New York",""
"    Estimate","14,406"
"Alamance County, North Carolina",""
"    Estimate","2,916"
"Brunswick County, North Carolina",""
"    Estimate","2,021"
"Buncombe County, North Carolina",""
"    Estimate","3,429"
"Burke County, North Carolina",""
"    Estimate","1,401"
"Cabarrus County, North Carolina",""
"    Estimate","2,606"
"Caldwell County, North Carolina",""
"    Estimate","1,207"
"Carteret County, North Carolina",""
"    Estimate","1,686"
"Catawba County, North Carolina",""
"    Estimate","2,234"
"Chatham County, North Carolina",""
"    Estimate","986"
"Cleveland County, North Carolina",""
"    Estimate","1,573"
"Craven County, North Carolina",""
"    Estimate","1,457"
"Cumberland County, North Carolina",""
"    Estimate","5,238"
"Davidson County, North Carolina",""
"    Estimate","2,268"
"Durham County, North Carolina",""
"    Estimate","3,648"
"Forsyth County, North Carolina",""
"    Estimate","5,767"
"Gaston County, North Carolina",""
"    Estimate","3,712"
"Guilford County, North Carolina",""
"    Estimate","7,521"
"Harnett County, North Carolina",""
"    Estimate","2,894"
"Henderson County, North Carolina",""
"    Estimate","1,658"
"Iredell County, North Carolina",""
"    Estimate","3,017"
"Johnston County, North Carolina",""
"    Estimate","2,011"
"Lincoln County, North Carolina",""
"    Estimate","1,200"
"Mecklenburg County, North Carolina",""
"    Estimate","14,199"
"Moore County, North Carolina",""
"    Estimate","1,270"
"Nash County, North Carolina",""
"    Estimate","1,281"
"New Hanover County, North Carolina",""
"    Estimate","2,690"
"Onslow County, North Carolina",""
"    Estimate","2,367"
"Orange County, North Carolina",""
"    Estimate","2,319"
"Pitt County, North Carolina",""
"    Estimate","2,045"
"Randolph County, North Carolina",""
"    Estimate","2,064"
"Robeson County, North Carolina",""
"    Estimate","2,583"
"Rockingham County, North Carolina",""
"    Estimate","1,365"
"Rowan County, North Carolina",""
"    Estimate","2,029"
"Rutherford County, North Carolina",""
"    Estimate","808"
"Surry County, North Carolina",""
"    Estimate","1,347"
"Union County, North Carolina",""
"    Estimate","3,592"
"Wake County, North Carolina",""
"    Estimate","13,603"
"Wayne County, North Carolina",""
"    Estimate","1,653"
"Wilkes County, North Carolina",""
"    Estimate","861"
"Wilson County, North Carolina",""
"    Estimate","1,198"
"Burleigh County, North Dakota",""
"    Estimate","1,725"
"Cass County, North Dakota",""
"    Estimate","2,983"
"Grand Forks County, North Dakota",""
"    Estimate","1,718"
"Ward County, North Dakota",""
"    Estimate","1,339"
"Allen County, Ohio",""
"    Estimate","2,003"
"Ashtabula County, Ohio",""
"    Estimate","1,882"
"Athens County, Ohio",""
"    Estimate","1,422"
"Belmont County, Ohio",""
"    Estimate","1,543"
"Butler County, Ohio",""
"    Estimate","5,532"
"Clark County, Ohio",""
"    Estimate","2,720"
"Clermont County, Ohio",""
