"Label (Grouping)","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher"
"        Estimate","(X)","6.0%","11.6%","32.6%","24.9%","7.6%","8.9%","8.4%","82.4%","17.3%"
"Cullman County, Alabama","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","57,469","4,590","8,398","18,481","10,535","5,733","6,575","3,157","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","8.0%","14.6%","32.2%","18.3%","10.0%","11.4%","5.5%","77.4%","16.9%"
"    Males","","","","","","","","","",""
"        Estimate","28,258","2,813","5,089","8,278","5,428","2,135","3,345","1,170","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","10.0%","18.0%","29.3%","19.2%","7.6%","11.8%","4.1%","72.0%","16.0%"
"    Females","","","","","","","","","",""
"        Estimate","29,211","1,777","3,309","10,203","5,107","3,598","3,230","1,987","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","6.1%","11.3%","34.9%","17.5%","12.3%","11.1%","6.8%","82.6%","17.9%"
"DeKalb County, Alabama","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","48,227","4,984","7,356","15,325","10,648","4,671","3,259","1,984","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","10.3%","15.3%","31.8%","22.1%","9.7%","6.8%","4.1%","74.4%","10.9%"
"    Males","","","","","","","","","",""
"        Estimate","23,382","1,993","4,171","8,737","4,551","1,694","1,447","789","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","8.5%","17.8%","37.4%","19.5%","7.2%","6.2%","3.4%","73.6%","9.6%"
"    Females","","","","","","","","","",""
"        Estimate","24,845","2,991","3,185","6,588","6,097","2,977","1,812","1,195","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","12.0%","12.8%","26.5%","24.5%","12.0%","7.3%","4.8%","75.1%","12.1%"
"Elmore County, Alabama","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","56,224","2,230","5,215","17,016","12,005","5,113","8,896","5,749","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.0%","9.3%","30.3%","21.4%","9.1%","15.8%","10.2%","86.8%","26.0%"
"    Males","","","","","","","","","",""
"        Estimate","26,587","1,492","2,573","8,684","5,400","2,307","4,023","2,108","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","5.6%","9.7%","32.7%","20.3%","8.7%","15.1%","7.9%","84.7%","23.1%"
"    Females","","","","","","","","","",""
"        Estimate","29,637","738","2,642","8,332","6,605","2,806","4,873","3,641","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.5%","8.9%","28.1%","22.3%","9.5%","16.4%","12.3%","88.6%","28.7%"
"Etowah County, Alabama","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","71,104","4,462","8,685","24,731","16,698","5,453","6,883","4,192","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","6.3%","12.2%","34.8%","23.5%","7.7%","9.7%","5.9%","81.5%","15.6%"
"    Males","","","","","","","","","",""
"        Estimate","33,518","2,362","2,960","12,983","8,034","2,335","3,150","1,694","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","7.0%","8.8%","38.7%","24.0%","7.0%","9.4%","5.1%","84.1%","14.5%"
"    Females","","","","","","","","","",""
"        Estimate","37,586","2,100","5,725","11,748","8,664","3,118","3,733","2,498","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","5.6%","15.2%","31.3%","23.1%","8.3%","9.9%","6.6%","79.2%","16.6%"
"Houston County, Alabama","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","71,469","3,244","8,156","21,501","17,292","6,759","9,392","5,125","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.5%","11.4%","30.1%","24.2%","9.5%","13.1%","7.2%","84.0%","20.3%"
"    Males","","","","","","","","","",""
"        Estimate","33,072","1,591","4,380","9,978","7,670","2,479","4,596","2,378","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.8%","13.2%","30.2%","23.2%","7.5%","13.9%","7.2%","81.9%","21.1%"
"    Females","","","","","","","","","",""
"        Estimate","38,397","1,653","3,776","11,523","9,622","4,280","4,796","2,747","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.3%","9.8%","30.0%","25.1%","11.1%","12.5%","7.2%","85.9%","19.6%"
"Jefferson County, Alabama","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","449,112","12,758","35,046","117,923","97,266","38,288","89,977","57,854","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.8%","7.8%","26.3%","21.7%","8.5%","20.0%","12.9%","89.4%","32.9%"
"    Males","","","","","","","","","",""
"        Estimate","205,127","6,750","17,616","56,120","44,306","14,690","39,780","25,865","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.3%","8.6%","27.4%","21.6%","7.2%","19.4%","12.6%","88.1%","32.0%"
"    Females","","","","","","","","","",""
"        Estimate","243,985","6,008","17,430","61,803","52,960","23,598","50,197","31,989","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.5%","7.1%","25.3%","21.7%","9.7%","20.6%","13.1%","90.4%","33.7%"
"Lauderdale County, Alabama","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","63,320","3,975","4,841","22,912","13,262","4,515","9,044","4,771","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","6.3%","7.6%","36.2%","20.9%","7.1%","14.3%","7.5%","86.1%","21.8%"
"    Males","","","","","","","","","",""
"        Estimate","29,705","1,994","2,372","10,198","6,364","1,851","5,125","1,801","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","6.7%","8.0%","34.3%","21.4%","6.2%","17.3%","6.1%","85.3%","23.3%"
"    Females","","","","","","","","","",""
"        Estimate","33,615","1,981","2,469","12,714","6,898","2,664","3,919","2,970","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","5.9%","7.3%","37.8%","20.5%","7.9%","11.7%","8.8%","86.8%","20.5%"
"Lee County, Alabama","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","94,996","4,068","7,493","21,014","20,972","7,544","18,716","15,189","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.3%","7.9%","22.1%","22.1%","7.9%","19.7%","16.0%","87.8%","35.7%"
"    Males","","","","","","","","","",""
"        Estimate","46,297","1,665","4,596","10,974","9,805","3,120","8,994","7,143","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.6%","9.9%","23.7%","21.2%","6.7%","19.4%","15.4%","86.5%","34.9%"
"    Females","","","","","","","","","",""
"        Estimate","48,699","2,403","2,897","10,040","11,167","4,424","9,722","8,046","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.9%","5.9%","20.6%","22.9%","9.1%","20.0%","16.5%","89.1%","36.5%"
"Limestone County, Alabama","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","63,911","3,863","8,374","19,322","13,652","4,472","9,285","4,943","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","6.0%","13.1%","30.2%","21.4%","7.0%","14.5%","7.7%","80.9%","22.3%"
"    Males","","","","","","","","","",""
"        Estimate","32,036","992","3,763","9,754","7,822","2,100","4,881","2,724","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.1%","11.7%","30.4%","24.4%","6.6%","15.2%","8.5%","85.2%","23.7%"
"    Females","","","","","","","","","",""
"        Estimate","31,875","2,871","4,611","9,568","5,830","2,372","4,404","2,219","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","9.0%","14.5%","30.0%","18.3%","7.4%","13.8%","7.0%","76.5%","20.8%"
"Madison County, Alabama","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","243,888","9,621","14,080","55,090","48,747","17,414","57,955","40,981","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.9%","5.8%","22.6%","20.0%","7.1%","23.8%","16.8%","90.3%","40.6%"
"    Males","","","","","","","","","",""
"        Estimate","116,546","5,094","7,399","24,715","21,988","6,456","28,009","22,885","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.4%","6.3%","21.2%","18.9%","5.5%","24.0%","19.6%","89.3%","43.7%"
"    Females","","","","","","","","","",""
"        Estimate","127,342","4,527","6,681","30,375","26,759","10,958","29,946","18,096","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.6%","5.2%","23.9%","21.0%","8.6%","23.5%","14.2%","91.2%","37.7%"
"Marshall County, Alabama","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","64,390","4,159","7,053","21,479","15,986","5,182","7,053","3,478","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","6.5%","11.0%","33.4%","24.8%","8.0%","11.0%","5.4%","82.6%","16.4%"
"    Males","","","","","","","","","",""
"        Estimate","30,707","2,289","3,570","10,539","8,446","1,127","3,497","1,239","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","7.5%","11.6%","34.3%","27.5%","3.7%","11.4%","4.0%","80.9%","15.4%"
"    Females","","","","","","","","","",""
"        Estimate","33,683","1,870","3,483","10,940","7,540","4,055","3,556","2,239","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","5.6%","10.3%","32.5%","22.4%","12.0%","10.6%","6.6%","84.1%","17.2%"
"Mobile County, Alabama","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","278,541","7,857","29,557","89,541","60,312","25,355","44,082","21,837","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.8%","10.6%","32.1%","21.7%","9.1%","15.8%","7.8%","86.6%","23.7%"
"    Males","","","","","","","","","",""
"        Estimate","129,550","3,837","16,224","41,957","28,096","10,678","20,421","8,337","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.0%","12.5%","32.4%","21.7%","8.2%","15.8%","6.4%","84.5%","22.2%"
"    Females","","","","","","","","","",""
"        Estimate","148,991","4,020","13,333","47,584","32,216","14,677","23,661","13,500","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.7%","8.9%","31.9%","21.6%","9.9%","15.9%","9.1%","88.4%","24.9%"
"Montgomery County, Alabama","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","151,057","6,280","15,674","36,639","35,191","9,218","28,613","19,442","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.2%","10.4%","24.3%","23.3%","6.1%","18.9%","12.9%","85.5%","31.8%"
"    Males","","","","","","","","","",""
"        Estimate","69,083","2,979","9,133","17,512","15,565","3,516","11,857","8,521","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","4.3%","13.2%","25.3%","22.5%","5.1%","17.2%","12.3%","82.5%","29.5%"
"    Females","","","","","","","","","",""
"        Estimate","81,974","3,301","6,541","19,127","19,626","5,702","16,756","10,921","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.0%","8.0%","23.3%","23.9%","7.0%","20.4%","13.3%","88.0%","33.8%"
"Morgan County, Alabama","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","82,212","6,947","9,033","24,468","18,119","7,426","10,892","5,327","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","8.5%","11.0%","29.8%","22.0%","9.0%","13.2%","6.5%","80.6%","19.7%"
"    Males","","","","","","","","","",""
"        Estimate","39,587","3,962","4,497","11,329","8,858","3,212","5,306","2,423","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","10.0%","11.4%","28.6%","22.4%","8.1%","13.4%","6.1%","78.6%","19.5%"
"    Females","","","","","","","","","",""
"        Estimate","42,625","2,985","4,536","13,139","9,261","4,214","5,586","2,904","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","7.0%","10.6%","30.8%","21.7%","9.9%","13.1%","6.8%","82.4%","19.9%"
"St. Clair County, Alabama","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","61,405","3,076","7,856","22,149","12,912","4,747","7,463","3,202","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","5.0%","12.8%","36.1%","21.0%","7.7%","12.2%","5.2%","82.2%","17.4%"
"    Males","","","","","","","","","",""
"        Estimate","30,312","1,910","4,001","11,953","5,805","1,314","3,532","1,797","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","6.3%","13.2%","39.4%","19.2%","4.3%","11.7%","5.9%","80.5%","17.6%"
"    Females","","","","","","","","","",""
"        Estimate","31,093","1,166","3,855","10,196","7,107","3,433","3,931","1,405","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.8%","12.4%","32.8%","22.9%","11.0%","12.6%","4.5%","83.9%","17.2%"
"Shelby County, Alabama","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","143,840","3,707","7,885","27,924","33,189","10,706","39,842","20,587","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.6%","5.5%","19.4%","23.1%","7.4%","27.7%","14.3%","91.9%","42.0%"
"    Males","","","","","","","","","",""
"        Estimate","68,590","1,354","4,232","12,944","14,708","3,766","21,641","9,945","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.0%","6.2%","18.9%","21.4%","5.5%","31.6%","14.5%","91.9%","46.1%"
"    Females","","","","","","","","","",""
"        Estimate","75,250","2,353","3,653","14,980","18,481","6,940","18,201","10,642","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.1%","4.9%","19.9%","24.6%","9.2%","24.2%","14.1%","92.0%","38.3%"
"Talladega County, Alabama","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","56,133","2,857","7,572","18,221","14,407","4,674","5,498","2,904","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","5.1%","13.5%","32.5%","25.7%","8.3%","9.8%","5.2%","81.4%","15.0%"
"    Males","","","","","","","","","",""
"        Estimate","26,681","1,445","3,703","9,849","7,060","1,390","1,873","1,361","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","5.4%","13.9%","36.9%","26.5%","5.2%","7.0%","5.1%","80.7%","12.1%"
"    Females","","","","","","","","","",""
"        Estimate","29,452","1,412","3,869","8,372","7,347","3,284","3,625","1,543","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.8%","13.1%","28.4%","24.9%","11.2%","12.3%","5.2%","82.1%","17.5%"
"Tuscaloosa County, Alabama","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","127,997","3,536","10,441","35,820","29,849","9,885","21,927","16,539","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","2.8%","8.2%","28.0%","23.3%","7.7%","17.1%","12.9%","89.1%","30.1%"
"    Males","","","","","","","","","",""
"        Estimate","60,502","2,351","5,848","17,274","13,698","3,856","10,431","7,044","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.9%","9.7%","28.6%","22.6%","6.4%","17.2%","11.6%","86.4%","28.9%"
"    Females","","","","","","","","","",""
"        Estimate","67,495","1,185","4,593","18,546","16,151","6,029","11,496","9,495","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","1.8%","6.8%","27.5%","23.9%","8.9%","17.0%","14.1%","91.4%","31.1%"
"Walker County, Alabama","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","45,447","3,843","5,733","17,432","9,118","4,305","3,027","1,989","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","8.5%","12.6%","38.4%","20.1%","9.5%","6.7%","4.4%","78.9%","11.0%"
"    Males","","","","","","","","","",""
"        Estimate","21,397","2,293","2,880","8,244","4,157","1,244","1,698","881","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","10.7%","13.5%","38.5%","19.4%","5.8%","7.9%","4.1%","75.8%","12.1%"
"    Females","","","","","","","","","",""
"        Estimate","24,050","1,550","2,853","9,188","4,961","3,061","1,329","1,108","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","6.4%","11.9%","38.2%","20.6%","12.7%","5.5%","4.6%","81.7%","10.1%"
"Anchorage Municipality, Alaska","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","193,529","3,654","8,196","44,804","49,206","16,956","45,056","25,657","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","1.9%","4.2%","23.2%","25.4%","8.8%","23.3%","13.3%","93.9%","36.5%"
"    Males","","","","","","","","","",""
"        Estimate","96,828","1,286","4,109","24,032","25,724","8,236","19,690","13,751","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","1.3%","4.2%","24.8%","26.6%","8.5%","20.3%","14.2%","94.4%","34.5%"
"    Females","","","","","","","","","",""
"        Estimate","96,701","2,368","4,087","20,772","23,482","8,720","25,366","11,906","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","2.4%","4.2%","21.5%","24.3%","9.0%","26.2%","12.3%","93.3%","38.5%"
"Fairbanks North Star Borough, Alaska","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","61,109","1,030","1,527","14,725","18,635","5,935","13,313","5,944","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","1.7%","2.5%","24.1%","30.5%","9.7%","21.8%","9.7%","95.8%","31.5%"
"    Males","","","","","","","","","",""
"        Estimate","32,615","844","979","8,084","11,084","3,661","5,012","2,951","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.6%","3.0%","24.8%","34.0%","11.2%","15.4%","9.0%","94.4%","24.4%"
"    Females","","","","","","","","","",""
"        Estimate","28,494","186","548","6,641","7,551","2,274","8,301","2,993","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","0.7%","1.9%","23.3%","26.5%","8.0%","29.1%","10.5%","97.4%","39.6%"
"Matanuska-Susitna Borough, Alaska","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","66,199","1,060","2,755","21,071","21,417","7,055","8,379","4,462","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","1.6%","4.2%","31.8%","32.4%","10.7%","12.7%","6.7%","94.2%","19.4%"
"    Males","","","","","","","","","",""
"        Estimate","34,345","705","1,476","11,691","11,537","3,606","3,271","2,059","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.1%","4.3%","34.0%","33.6%","10.5%","9.5%","6.0%","93.6%","15.5%"
"    Females","","","","","","","","","",""
"        Estimate","31,854","355","1,279","9,380","9,880","3,449","5,108","2,403","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","1.1%","4.0%","29.4%","31.0%","10.8%","16.0%","7.5%","94.9%","23.6%"
"Apache County, Arizona","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","45,180","4,074","4,230","14,071","14,127","3,415","3,115","2,148","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","9.0%","9.4%","31.1%","31.3%","7.6%","6.9%","4.8%","81.6%","11.6%"
"    Males","","","","","","","","","",""
"        Estimate","22,221","1,760","2,718","7,726","6,737","1,219","1,043","1,018","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","7.9%","12.2%","34.8%","30.3%","5.5%","4.7%","4.6%","79.8%","9.3%"
"    Females","","","","","","","","","",""
"        Estimate","22,959","2,314","1,512","6,345","7,390","2,196","2,072","1,130","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","10.1%","6.6%","27.6%","32.2%","9.6%","9.0%","4.9%","83.3%","13.9%"
"Cochise County, Arizona","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","87,838","5,366","6,377","22,897","22,930","8,928","13,579","7,761","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","6.1%","7.3%","26.1%","26.1%","10.2%","15.5%","8.8%","86.6%","24.3%"
"    Males","","","","","","","","","",""
"        Estimate","43,984","2,394","3,515","10,162","12,474","4,060","7,559","3,820","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","5.4%","8.0%","23.1%","28.4%","9.2%","17.2%","8.7%","86.6%","25.9%"
"    Females","","","","","","","","","",""
"        Estimate","43,854","2,972","2,862","12,735","10,456","4,868","6,020","3,941","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","6.8%","6.5%","29.0%","23.8%","11.1%","13.7%","9.0%","86.7%","22.7%"
"Coconino County, Arizona","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","81,866","3,015","5,541","18,074","20,111","6,152","16,781","12,192","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.7%","6.8%","22.1%","24.6%","7.5%","20.5%","14.9%","89.5%","35.4%"
"    Males","","","","","","","","","",""
"        Estimate","41,020","1,109","2,438","10,190","10,557","2,518","8,600","5,608","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","2.7%","5.9%","24.8%","25.7%","6.1%","21.0%","13.7%","91.4%","34.6%"
"    Females","","","","","","","","","",""
"        Estimate","40,846","1,906","3,103","7,884","9,554","3,634","8,181","6,584","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","4.7%","7.6%","19.3%","23.4%","8.9%","20.0%","16.1%","87.7%","36.1%"
"Maricopa County, Arizona","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","2,806,841","164,619","193,976","629,861","689,187","232,840","573,679","322,679","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","5.9%","6.9%","22.4%","24.6%","8.3%","20.4%","11.5%","87.2%","31.9%"
"    Males","","","","","","","","","",""
"        Estimate","1,363,158","78,937","99,448","306,941","322,193","111,764","281,415","162,460","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","5.8%","7.3%","22.5%","23.6%","8.2%","20.6%","11.9%","86.9%","32.6%"
"    Females","","","","","","","","","",""
"        Estimate","1,443,683","85,682","94,528","322,920","366,994","121,076","292,264","160,219","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","5.9%","6.5%","22.4%","25.4%","8.4%","20.2%","11.1%","87.5%","31.3%"
"Mohave County, Arizona","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","155,272","5,081","18,637","53,416","46,958","13,657","11,347","6,176","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","3.3%","12.0%","34.4%","30.2%","8.8%","7.3%","4.0%","84.7%","11.3%"
"    Males","","","","","","","","","",""
"        Estimate","77,647","2,342","9,550","26,677","24,021","5,716","6,803","2,538","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","3.0%","12.3%","34.4%","30.9%","7.4%","8.8%","3.3%","84.7%","12.0%"
"    Females","","","","","","","","","",""
"        Estimate","77,625","2,739","9,087","26,739","22,937","7,941","4,544","3,638","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","3.5%","11.7%","34.4%","29.5%","10.2%","5.9%","4.7%","84.8%","10.5%"
"Navajo County, Arizona","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","70,759","5,347","8,116","21,081","20,250","5,792","6,096","4,077","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","7.6%","11.5%","29.8%","28.6%","8.2%","8.6%","5.8%","81.0%","14.4%"
"    Males","","","","","","","","","",""
"        Estimate","35,076","3,031","4,438","11,041","8,575","2,775","2,781","2,435","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","8.6%","12.7%","31.5%","24.4%","7.9%","7.9%","6.9%","78.7%","14.9%"
"    Females","","","","","","","","","",""
"        Estimate","35,683","2,316","3,678","10,040","11,675","3,017","3,315","1,642","(X)","(X)"
"    Percent Females","","","","","","","","","",""
"        Estimate","(X)","6.5%","10.3%","28.1%","32.7%","8.5%","9.3%","4.6%","83.2%","13.9%"
"Pima County, Arizona","","","","","","","","","",""
"    Total","","","","","","","","","",""
"        Estimate","676,920","32,619","48,684","149,691","171,976","58,322","121,916","93,712","(X)","(X)"
"    Percent","","","","","","","","","",""
"        Estimate","(X)","4.8%","7.2%","22.1%","25.4%","8.6%","18.0%","13.8%","88.0%","31.9%"
"    Males","","","","","","","","","",""
"        Estimate","326,700","17,140","25,420","73,507","81,545","26,062","56,491","46,535","(X)","(X)"
"    Percent Males","","","","","","","","","",""
"        Estimate","(X)","5.2%","7.8%","22.5%","25.0%","8.0%","17.3%","14.2%","87.0%","31.5%"
"    Females","","","","","","","","","",""
"        Estimate","350,220","15,479","23,264","76,184","90,431","32,260","65,425","47,177","(X)","(X)"
"    Percent Females","","","","","","","","","",""
