"Label (Grouping)","Total"
"Hernando County, Florida",""
"    Estimate","182,835"
"Highlands County, Florida",""
"    Estimate","100,917"
"Hillsborough County, Florida",""
"    Estimate","1,376,238"
"Indian River County, Florida",""
"    Estimate","151,563"
"Lake County, Florida",""
"    Estimate","335,396"
"Lee County, Florida",""
"    Estimate","722,336"
"Leon County, Florida",""
"    Estimate","287,822"
"Manatee County, Florida",""
"    Estimate","375,888"
"Marion County, Florida",""
"    Estimate","349,020"
"Martin County, Florida",""
"    Estimate","158,701"
"Miami-Dade County, Florida",""
"    Estimate","2,712,945"
"Monroe County, Florida",""
"    Estimate","79,077"
"Nassau County, Florida",""
"    Estimate","80,622"
"Okaloosa County, Florida",""
"    Estimate","201,170"
"Orange County, Florida",""
"    Estimate","1,314,367"
"Osceola County, Florida",""
"    Estimate","336,015"
"Palm Beach County, Florida",""
"    Estimate","1,443,810"
"Pasco County, Florida",""
"    Estimate","512,368"
"Pinellas County, Florida",""
"    Estimate","960,730"
"Polk County, Florida",""
"    Estimate","666,149"
"Putnam County, Florida",""
"    Estimate","72,277"
"St. Johns County, Florida",""
"    Estimate","235,087"
"St. Lucie County, Florida",""
"    Estimate","306,507"
"Santa Rosa County, Florida",""
"    Estimate","170,497"
"Sarasota County, Florida",""
"    Estimate","412,569"
"Seminole County, Florida",""
"    Estimate","455,479"
"Sumter County, Florida",""
"    Estimate","123,996"
"Volusia County, Florida",""
"    Estimate","529,364"
"Walton County, Florida",""
"    Estimate","65,889"
"Barrow County, Georgia",""
"    Estimate","77,126"
"Bartow County, Georgia",""
"    Estimate","103,807"
"Bibb County, Georgia",""
"    Estimate","152,760"
"Bulloch County, Georgia",""
"    Estimate","74,722"
"Carroll County, Georgia",""
"    Estimate","116,261"
"Catoosa County, Georgia",""
"    Estimate","66,398"
"Chatham County, Georgia",""
"    Estimate","289,082"
"Cherokee County, Georgia",""
"    Estimate","241,689"
"Clarke County, Georgia",""
"    Estimate","124,707"
"Clayton County, Georgia",""
"    Estimate","279,462"
"Cobb County, Georgia",""
"    Estimate","748,150"
"Columbia County, Georgia",""
"    Estimate","147,450"
"Coweta County, Georgia",""
"    Estimate","140,526"
"DeKalb County, Georgia",""
"    Estimate","740,321"
"Dougherty County, Georgia",""
"    Estimate","90,017"
"Douglas County, Georgia",""
"    Estimate","142,224"
"Fayette County, Georgia",""
"    Estimate","111,627"
"Floyd County, Georgia",""
"    Estimate","96,560"
"Forsyth County, Georgia",""
"    Estimate","221,009"
"Fulton County, Georgia",""
"    Estimate","1,023,336"
"Glynn County, Georgia",""
"    Estimate","84,502"
"Gwinnett County, Georgia",""
"    Estimate","907,135"
"Hall County, Georgia",""
"    Estimate","196,637"
"Henry County, Georgia",""
"    Estimate","221,768"
"Houston County, Georgia",""
"    Estimate","152,122"
"Liberty County, Georgia",""
"    Estimate","62,570"
"Lowndes County, Georgia",""
"    Estimate","114,628"
"Muscogee County, Georgia",""
"    Estimate","197,485"
"Newton County, Georgia",""
"    Estimate","106,999"
"Paulding County, Georgia",""
"    Estimate","155,825"
"Richmond County, Georgia",""
"    Estimate","201,647"
"Rockdale County, Georgia",""
"    Estimate","89,355"
"Troup County, Georgia",""
"    Estimate","70,005"
"Walker County, Georgia",""
"    Estimate","67,896"
"Walton County, Georgia",""
"    Estimate","90,184"
"Whitfield County, Georgia",""
"    Estimate","104,589"
"Hawaii County, Hawaii",""
"    Estimate","198,449"
"Honolulu County, Hawaii",""
"    Estimate","992,605"
"Kauai County, Hawaii",""
"    Estimate","72,029"
"Maui County, Hawaii",""
"    Estimate","165,379"
"Ada County, Idaho",""
"    Estimate","444,028"
"Bannock County, Idaho",""
"    Estimate","84,377"
"Bonneville County, Idaho",""
"    Estimate","112,232"
"Canyon County, Idaho",""
"    Estimate","211,698"
"Kootenai County, Idaho",""
"    Estimate","154,311"
"Twin Falls County, Idaho",""
"    Estimate","83,514"
"Adams County, Illinois",""
"    Estimate","66,578"
"Champaign County, Illinois",""
"    Estimate","208,419"
"Cook County, Illinois",""
"    Estimate","5,203,499"
"DeKalb County, Illinois",""
"    Estimate","104,528"
"DuPage County, Illinois",""
"    Estimate","929,368"
"Kane County, Illinois",""
"    Estimate","531,715"
"Kankakee County, Illinois",""
"    Estimate","110,008"
"Kendall County, Illinois",""
"    Estimate","124,695"
"Lake County, Illinois",""
"    Estimate","703,047"
"LaSalle County, Illinois",""
"    Estimate","110,642"
"McHenry County, Illinois",""
"    Estimate","307,004"
"McLean County, Illinois",""
"    Estimate","172,418"
"Macon County, Illinois",""
"    Estimate","106,550"
"Madison County, Illinois",""
"    Estimate","265,759"
"Peoria County, Illinois",""
"    Estimate","185,006"
"Rock Island County, Illinois",""
"    Estimate","144,784"
"St. Clair County, Illinois",""
"    Estimate","262,759"
"Sangamon County, Illinois",""
"    Estimate","197,499"
"Tazewell County, Illinois",""
"    Estimate","134,385"
"Vermilion County, Illinois",""
"    Estimate","78,111"
"Will County, Illinois",""
"    Estimate","689,529"
"Williamson County, Illinois",""
"    Estimate","67,560"
"Winnebago County, Illinois",""
"    Estimate","285,873"
"Allen County, Indiana",""
"    Estimate","370,404"
"Bartholomew County, Indiana",""
"    Estimate","81,402"
"Clark County, Indiana",""
"    Estimate","116,031"
"Delaware County, Indiana",""
"    Estimate","115,603"
"Elkhart County, Indiana",""
"    Estimate","203,781"
"Floyd County, Indiana",""
"    Estimate","76,990"
"Grant County, Indiana",""
"    Estimate","66,937"
"Hamilton County, Indiana",""
"    Estimate","316,373"
"Hancock County, Indiana",""
"    Estimate","73,717"
"Hendricks County, Indiana",""
"    Estimate","160,610"
"Howard County, Indiana",""
"    Estimate","82,568"
"Johnson County, Indiana",""
"    Estimate","151,982"
"Kosciusko County, Indiana",""
"    Estimate","79,092"
"Lake County, Indiana",""
"    Estimate","485,846"
"LaPorte County, Indiana",""
"    Estimate","110,015"
"Madison County, Indiana",""
"    Estimate","129,296"
"Marion County, Indiana",""
"    Estimate","941,229"
"Monroe County, Indiana",""
"    Estimate","145,496"
"Morgan County, Indiana",""
"    Estimate","69,698"
"Porter County, Indiana",""
"    Estimate","167,791"
"St. Joseph County, Indiana",""
"    Estimate","269,141"
"Tippecanoe County, Indiana",""
"    Estimate","188,059"
"Vanderburgh County, Indiana",""
"    Estimate","181,721"
"Vigo County, Indiana",""
"    Estimate","107,931"
"Wayne County, Indiana",""
"    Estimate","66,568"
"Black Hawk County, Iowa",""
"    Estimate","132,904"
"Dallas County, Iowa",""
"    Estimate","84,516"
"Dubuque County, Iowa",""
"    Estimate","97,003"
"Johnson County, Iowa",""
"    Estimate","146,547"
"Linn County, Iowa",""
"    Estimate","221,661"
"Polk County, Iowa",""
"    Estimate","474,045"
"Pottawattamie County, Iowa",""
"    Estimate","93,582"
"Scott County, Iowa",""
"    Estimate","172,474"
"Story County, Iowa",""
"    Estimate","97,090"
"Woodbury County, Iowa",""
"    Estimate","102,779"
"Butler County, Kansas",""
"    Estimate","67,025"
"Douglas County, Kansas",""
"    Estimate","119,440"
"Johnson County, Kansas",""
"    Estimate","584,451"
"Leavenworth County, Kansas",""
"    Estimate","80,204"
"Riley County, Kansas",""
"    Estimate","73,343"
"Sedgwick County, Kansas",""
"    Estimate","511,995"
"Shawnee County, Kansas",""
"    Estimate","178,146"
"Wyandotte County, Kansas",""
"    Estimate","163,831"
"Boone County, Kentucky",""
"    Estimate","128,536"
"Bullitt County, Kentucky",""
"    Estimate","79,151"
"Campbell County, Kentucky",""
"    Estimate","92,211"
"Christian County, Kentucky",""
"    Estimate","72,351"
"Daviess County, Kentucky",""
"    Estimate","99,674"
"Fayette County, Kentucky",""
"    Estimate","318,449"
"Hardin County, Kentucky",""
"    Estimate","107,316"
"Jefferson County, Kentucky",""
"    Estimate","765,352"
"Kenton County, Kentucky",""
"    Estimate","164,945"
"McCracken County, Kentucky",""
"    Estimate","65,162"
"Madison County, Kentucky",""
"    Estimate","89,547"
"Oldham County, Kentucky",""
"    Estimate","65,560"
"Warren County, Kentucky",""
"    Estimate","125,532"
"Ascension Parish, Louisiana",""
"    Estimate","121,587"
"Bossier Parish, Louisiana",""
"    Estimate","126,057"
"Caddo Parish, Louisiana",""
"    Estimate","248,851"
"Calcasieu Parish, Louisiana",""
"    Estimate","200,601"
"East Baton Rouge Parish, Louisiana",""
"    Estimate","447,037"
"Iberia Parish, Louisiana",""
"    Estimate","73,273"
"Jefferson Parish, Louisiana",""
"    Estimate","436,523"
"Lafayette Parish, Louisiana",""
"    Estimate","241,398"
"Lafourche Parish, Louisiana",""
"    Estimate","98,305"
"Livingston Parish, Louisiana",""
"    Estimate","140,138"
"Orleans Parish, Louisiana",""
"    Estimate","391,495"
"Ouachita Parish, Louisiana",""
"    Estimate","156,983"
"Rapides Parish, Louisiana",""
"    Estimate","132,424"
"St. Landry Parish, Louisiana",""
"    Estimate","83,883"
"St. Tammany Parish, Louisiana",""
"    Estimate","253,602"
"Tangipahoa Parish, Louisiana",""
"    Estimate","130,710"
"Terrebonne Parish, Louisiana",""
"    Estimate","113,220"
"Androscoggin County, Maine",""
"    Estimate","107,319"
"Aroostook County, Maine",""
"    Estimate","67,959"
"Cumberland County, Maine",""
"    Estimate","292,041"
"Kennebec County, Maine",""
"    Estimate","120,569"
"Penobscot County, Maine",""
"    Estimate","151,806"
"York County, Maine",""
"    Estimate","202,343"
"Allegany County, Maryland",""
"    Estimate","72,130"
"Anne Arundel County, Maryland",""
"    Estimate","568,346"
"Baltimore County, Maryland",""
"    Estimate","831,026"
"Calvert County, Maryland",""
"    Estimate","91,251"
"Carroll County, Maryland",""
"    Estimate","167,656"
"Cecil County, Maryland",""
"    Estimate","102,603"
"Charles County, Maryland",""
"    Estimate","157,705"
"Frederick County, Maryland",""
"    Estimate","247,591"
"Harford County, Maryland",""
"    Estimate","251,032"
"Howard County, Maryland",""
"    Estimate","317,233"
"Montgomery County, Maryland",""
"    Estimate","1,043,863"
"Prince George's County, Maryland",""
"    Estimate","908,049"
"St. Mary's County, Maryland",""
"    Estimate","112,587"
"Washington County, Maryland",""
"    Estimate","150,292"
"Wicomico County, Maryland",""
"    Estimate","102,577"
"Baltimore city, Maryland",""
"    Estimate","614,664"
"Barnstable County, Massachusetts",""
"    Estimate","214,276"
"Berkshire County, Massachusetts",""
"    Estimate","126,903"
"Bristol County, Massachusetts",""
"    Estimate","558,324"
"Essex County, Massachusetts",""
"    Estimate","779,018"
"Franklin County, Massachusetts",""
"    Estimate","70,382"
"Hampden County, Massachusetts",""
"    Estimate","468,467"
"Hampshire County, Massachusetts",""
"    Estimate","161,816"
"Middlesex County, Massachusetts",""
"    Estimate","1,589,774"
"Norfolk County, Massachusetts",""
"    Estimate","697,181"
"Plymouth County, Massachusetts",""
"    Estimate","513,565"
"Suffolk County, Massachusetts",""
"    Estimate","784,230"
"Worcester County, Massachusetts",""
"    Estimate","819,589"
"Allegan County, Michigan",""
"    Estimate","115,548"
"Bay County, Michigan",""
"    Estimate","104,747"
"Berrien County, Michigan",""
"    Estimate","154,010"
"Calhoun County, Michigan",""
"    Estimate","134,386"
"Clinton County, Michigan",""
"    Estimate","77,888"
"Eaton County, Michigan",""
"    Estimate","109,160"
"Genesee County, Michigan",""
"    Estimate","408,615"
"Grand Traverse County, Michigan",""
"    Estimate","92,084"
"Ingham County, Michigan",""
"    Estimate","288,051"
"Isabella County, Michigan",""
"    Estimate","71,282"
"Jackson County, Michigan",""
"    Estimate","158,460"
"Kalamazoo County, Michigan",""
"    Estimate","261,654"
"Kent County, Michigan",""
"    Estimate","642,173"
"Lapeer County, Michigan",""
"    Estimate","88,340"
"Lenawee County, Michigan",""
"    Estimate","98,504"
"Livingston County, Michigan",""
"    Estimate","188,624"
"Macomb County, Michigan",""
"    Estimate","867,730"
"Marquette County, Michigan",""
"    Estimate","66,435"
"Midland County, Michigan",""
"    Estimate","83,462"
"Monroe County, Michigan",""
"    Estimate","149,208"
"Muskegon County, Michigan",""
"    Estimate","173,408"
"Oakland County, Michigan",""
"    Estimate","1,243,970"
"Ottawa County, Michigan",""
"    Estimate","282,250"
"Saginaw County, Michigan",""
"    Estimate","192,326"
"St. Clair County, Michigan",""
"    Estimate","159,587"
"Shiawassee County, Michigan",""
"    Estimate","68,554"
"Van Buren County, Michigan",""
"    Estimate","75,223"
"Washtenaw County, Michigan",""
"    Estimate","364,709"
"Wayne County, Michigan",""
"    Estimate","1,749,366"
"Anoka County, Minnesota",""
"    Estimate","345,957"
"Blue Earth County, Minnesota",""
"    Estimate","66,441"
"Carver County, Minnesota",""
"    Estimate","100,262"
"Dakota County, Minnesota",""
"    Estimate","417,486"
"Hennepin County, Minnesota",""
"    Estimate","1,232,483"
"Olmsted County, Minnesota",""
"    Estimate","153,102"
"Ramsey County, Minnesota",""
"    Estimate","540,649"
"Rice County, Minnesota",""
"    Estimate","65,622"
"St. Louis County, Minnesota",""
"    Estimate","199,980"
"Scott County, Minnesota",""
"    Estimate","143,680"
"Sherburne County, Minnesota",""
"    Estimate","93,528"
"Stearns County, Minnesota",""
"    Estimate","155,652"
"Washington County, Minnesota",""
"    Estimate","253,117"
"Wright County, Minnesota",""
"    Estimate","132,550"
"DeSoto County, Mississippi",""
"    Estimate","175,611"
"Forrest County, Mississippi",""
"    Estimate","75,979"
"Harrison County, Mississippi",""
"    Estimate","203,234"
"Hinds County, Mississippi",""
"    Estimate","241,229"
"Jackson County, Mississippi",""
"    Estimate","141,241"
"Jones County, Mississippi",""
"    Estimate","67,953"
"Lauderdale County, Mississippi",""
"    Estimate","77,755"
"Lee County, Mississippi",""
"    Estimate","85,381"
"Madison County, Mississippi",""
"    Estimate","105,114"
"Rankin County, Mississippi",""
"    Estimate","150,228"
"Boone County, Missouri",""
"    Estimate","176,594"
"Buchanan County, Missouri",""
"    Estimate","88,938"
"Cape Girardeau County, Missouri",""
"    Estimate","78,913"
"Cass County, Missouri",""
"    Estimate","102,845"
"Christian County, Missouri",""
"    Estimate","84,401"
"Clay County, Missouri",""
"    Estimate","239,085"
"Cole County, Missouri",""
"    Estimate","76,631"
"Franklin County, Missouri",""
"    Estimate","102,838"
"Greene County, Missouri",""
"    Estimate","288,690"
"Jackson County, Missouri",""
"    Estimate","691,801"
"Jasper County, Missouri",""
"    Estimate","119,111"
"Jefferson County, Missouri",""
"    Estimate","224,226"
"Platte County, Missouri",""
"    Estimate","98,309"
"St. Charles County, Missouri",""
"    Estimate","390,918"
"St. Francois County, Missouri",""
"    Estimate","66,627"
"St. Louis County, Missouri",""
"    Estimate","998,581"
"St. Louis city, Missouri",""
"    Estimate","311,404"
"Cascade County, Montana",""
"    Estimate","81,755"
"Flathead County, Montana",""
"    Estimate","98,082"
"Gallatin County, Montana",""
"    Estimate","104,502"
"Lewis and Clark County, Montana",""
"    Estimate","67,282"
"Missoula County, Montana",""
"    Estimate","116,130"
"Yellowstone County, Montana",""
"    Estimate","158,437"
"Douglas County, Nebraska",""
"    Estimate","554,995"
"Lancaster County, Nebraska",""
"    Estimate","309,637"
"Sarpy County, Nebraska",""
"    Estimate","179,023"
"Clark County, Nevada",""
"    Estimate","2,155,664"
"Washoe County, Nevada",""
"    Estimate","453,616"
"Cheshire County, New Hampshire",""
"    Estimate","75,774"
"Grafton County, New Hampshire",""
"    Estimate","88,888"
"Hillsborough County, New Hampshire",""
"    Estimate","407,761"
"Merrimack County, New Hampshire",""
"    Estimate","148,582"
"Rockingham County, New Hampshire",""
"    Estimate","303,251"
"Strafford County, New Hampshire",""
"    Estimate","127,428"
"Atlantic County, New Jersey",""
"    Estimate","270,991"
"Bergen County, New Jersey",""
"    Estimate","939,151"
"Burlington County, New Jersey",""
"    Estimate","449,284"
"Camden County, New Jersey",""
"    Estimate","510,150"
"Cape May County, New Jersey",""
"    Estimate","94,430"
"Cumberland County, New Jersey",""
"    Estimate","153,797"
"Essex County, New Jersey",""
"    Estimate","796,914"
"Gloucester County, New Jersey",""
"    Estimate","292,330"
"Hudson County, New Jersey",""
"    Estimate","677,983"
"Hunterdon County, New Jersey",""
"    Estimate","124,676"
"Mercer County, New Jersey",""
"    Estimate","371,023"
"Middlesex County, New Jersey",""
"    Estimate","837,073"
"Monmouth County, New Jersey",""
"    Estimate","625,846"
"Morris County, New Jersey",""
"    Estimate","498,423"
"Ocean County, New Jersey",""
"    Estimate","592,497"
"Passaic County, New Jersey",""
"    Estimate","507,945"
"Salem County, New Jersey",""
"    Estimate","63,436"
"Somerset County, New Jersey",""
"    Estimate","333,751"
"Sussex County, New Jersey",""
"    Estimate","142,522"
"Union County, New Jersey",""
"    Estimate","555,630"
"Warren County, New Jersey",""
"    Estimate","106,617"
"Bernalillo County, New Mexico",""
"    Estimate","676,953"
"Chaves County, New Mexico",""
"    Estimate","65,282"
"Doña Ana County, New Mexico",""
"    Estimate","214,207"
"Lea County, New Mexico",""
"    Estimate","69,749"
"McKinley County, New Mexico",""
"    Estimate","74,923"
"Otero County, New Mexico",""
"    Estimate","65,410"
"Sandoval County, New Mexico",""
"    Estimate","142,025"
"San Juan County, New Mexico",""
"    Estimate","115,079"
"Santa Fe County, New Mexico",""
"    Estimate","148,651"
"Valencia County, New Mexico",""
"    Estimate","75,626"
"Albany County, New York",""
"    Estimate","308,846"
"Bronx County, New York",""
"    Estimate","1,455,720"
"Broome County, New York",""
"    Estimate","195,334"
"Cattaraugus County, New York",""
"    Estimate","77,677"
"Cayuga County, New York",""
"    Estimate","77,861"
"Chautauqua County, New York",""
"    Estimate","129,504"
"Chemung County, New York",""
"    Estimate","86,322"
"Clinton County, New York",""
"    Estimate","81,073"
"Dutchess County, New York",""
"    Estimate","294,473"
"Erie County, New York",""
"    Estimate","921,046"
"Jefferson County, New York",""
"    Estimate","114,006"
"Kings County, New York",""
"    Estimate","2,629,150"
"Livingston County, New York",""
"    Estimate","64,257"
"Madison County, New York",""
"    Estimate","71,329"
"Monroe County, New York",""
"    Estimate","747,727"
"Nassau County, New York",""
"    Estimate","1,361,500"
"New York County, New York",""
"    Estimate","1,643,734"
"Niagara County, New York",""
"    Estimate","211,758"
"Oneida County, New York",""
"    Estimate","231,190"
"Onondaga County, New York",""
"    Estimate","466,194"
"Ontario County, New York",""
"    Estimate","109,828"
"Orange County, New York",""
"    Estimate","379,210"
"Oswego County, New York",""
"    Estimate","118,987"
"Putnam County, New York",""
"    Estimate","98,900"
"Queens County, New York",""
"    Estimate","2,333,054"
"Rensselaer County, New York",""
"    Estimate","160,070"
"Richmond County, New York",""
"    Estimate","476,015"
"Rockland County, New York",""
"    Estimate","326,780"
"St. Lawrence County, New York",""
"    Estimate","110,038"
"Saratoga County, New York",""
"    Estimate","227,053"
"Schenectady County, New York",""
"    Estimate","154,553"
"Steuben County, New York",""
"    Estimate","96,940"
"Suffolk County, New York",""
"    Estimate","1,492,583"
"Sullivan County, New York",""
"    Estimate","74,801"
"Tompkins County, New York",""
"    Estimate","104,871"
"Ulster County, New York",""
"    Estimate","179,225"
"Warren County, New York",""
"    Estimate","64,567"
"Wayne County, New York",""
"    Estimate","90,798"
"Westchester County, New York",""
"    Estimate","974,542"
"Alamance County, North Carolina",""
"    Estimate","159,688"
"Brunswick County, North Carolina",""
"    Estimate","126,953"
"Buncombe County, North Carolina",""
"    Estimate","256,088"
"Burke County, North Carolina",""
"    Estimate","88,851"
"Cabarrus County, North Carolina",""
"    Estimate","201,590"
"Caldwell County, North Carolina",""
"    Estimate","81,449"
"Carteret County, North Carolina",""
"    Estimate","68,890"
"Catawba County, North Carolina",""
"    Estimate","156,459"
"Chatham County, North Carolina",""
"    Estimate","72,243"
"Cleveland County, North Carolina",""
"    Estimate","97,144"
"Craven County, North Carolina",""
"    Estimate","103,445"
"Cumberland County, North Carolina",""
"    Estimate","327,127"
"Davidson County, North Carolina",""
"    Estimate","164,926"
"Durham County, North Carolina",""
"    Estimate","306,212"
"Forsyth County, North Carolina",""
"    Estimate","371,511"
"Gaston County, North Carolina",""
"    Estimate","216,965"
"Guilford County, North Carolina",""
"    Estimate","521,330"
"Harnett County, North Carolina",""
"    Estimate","130,881"
"Henderson County, North Carolina",""
"    Estimate","114,209"
"Iredell County, North Carolina",""
"    Estimate","172,916"
"Johnston County, North Carolina",""
"    Estimate","191,450"
"Lincoln County, North Carolina",""
"    Estimate","81,168"
"Mecklenburg County, North Carolina",""
"    Estimate","1,054,835"
"Moore County, North Carolina",""
"    Estimate","95,776"
"Nash County, North Carolina",""
"    Estimate","94,005"
"New Hanover County, North Carolina",""
"    Estimate","223,483"
"Onslow County, North Carolina",""
"    Estimate","187,136"
"Orange County, North Carolina",""
"    Estimate","141,796"
"Pitt County, North Carolina",""
"    Estimate","177,220"
"Randolph County, North Carolina",""
"    Estimate","143,416"
"Robeson County, North Carolina",""
"    Estimate","133,235"
"Rockingham County, North Carolina",""
"    Estimate","91,393"
"Rowan County, North Carolina",""
"    Estimate","139,933"
"Rutherford County, North Carolina",""
"    Estimate","66,421"
"Surry County, North Carolina",""
"    Estimate","72,113"
"Union County, North Carolina",""
"    Estimate","226,606"
"Wake County, North Carolina",""
"    Estimate","1,046,791"
"Wayne County, North Carolina",""
"    Estimate","124,150"
"Wilkes County, North Carolina",""
"    Estimate","68,740"
"Wilson County, North Carolina",""
"    Estimate","81,661"
"Burleigh County, North Dakota",""
"    Estimate","94,487"
"Cass County, North Dakota",""
"    Estimate","175,249"
"Grand Forks County, North Dakota",""
"    Estimate","71,083"
"Ward County, North Dakota",""
"    Estimate","70,210"
"Allen County, Ohio",""
"    Estimate","103,742"
"Ashtabula County, Ohio",""
"    Estimate","98,231"
"Athens County, Ohio",""
